enrollment_id,student_id,course_id,semester_id,grade,created_at
ENR-00244,STU-0043,CRS-0045,SEM-1,B,2026-04-16T13:18:17.261706
ENR-00245,STU-0158,CRS-0014,SEM-6,B,2026-04-16T13:18:17.261712
ENR-00246,STU-0070,CRS-0030,SEM-3,F,2026-04-16T13:18:17.261716
ENR-00247,STU-0181,CRS-0050,SEM-5,B,2026-04-16T13:18:17.261720
ENR-00248,STU-0140,CRS-0051,SEM-2,B,2026-04-16T13:18:17.261725
ENR-00249,STU-0360,CRS-0015,SEM-4,B,2026-04-16T13:18:17.261729
ENR-00250,STU-0450,CRS-0047,SEM-6,B,2026-04-16T13:18:17.261733
ENR-00251,STU-0169,CRS-0025,SEM-6,A,2026-04-16T13:18:17.261736
ENR-00252,STU-0293,CRS-0007,SEM-1,W,2026-04-16T13:18:17.261740
ENR-00253,STU-0442,CRS-0046,SEM-6,C,2026-04-16T13:18:17.261744
ENR-00254,STU-0221,CRS-0040,SEM-2,A,2026-04-16T13:18:17.261749
ENR-00255,STU-0029,CRS-0042,SEM-3,F,2026-04-16T13:18:17.261753
ENR-00256,STU-0363,CRS-0040,SEM-1,A,2026-04-16T13:18:17.261757
ENR-00257,STU-0166,CRS-0056,SEM-1,W,2026-04-16T13:18:17.261761
ENR-00258,STU-0413,CRS-0033,SEM-1,A,2026-04-16T13:18:17.261766
ENR-00259,STU-0065,CRS-0004,SEM-4,A,2026-04-16T13:18:17.261770
ENR-00260,STU-0418,CRS-0003,SEM-2,F,2026-04-16T13:18:17.261774
ENR-00261,STU-0381,CRS-0029,SEM-1,C,2026-04-16T13:18:17.261778
ENR-00262,STU-0033,CRS-0056,SEM-5,B,2026-04-16T13:18:17.261783
ENR-00263,STU-0326,CRS-0011,SEM-5,W,2026-04-16T13:18:17.261787
ENR-00264,STU-0451,CRS-0051,SEM-1,D,2026-04-16T13:18:17.261791
ENR-00265,STU-0223,CRS-0053,SEM-6,D,2026-04-16T13:18:17.261797
ENR-00266,STU-0298,CRS-0006,SEM-3,D,2026-04-16T13:18:17.261815
ENR-00267,STU-0037,CRS-0059,SEM-2,C,2026-04-16T13:18:17.261820
ENR-00268,STU-0020,CRS-0029,SEM-5,B,2026-04-16T13:18:17.261824
ENR-00269,STU-0151,CRS-0040,SEM-2,A,2026-04-16T13:18:17.261829
ENR-00270,STU-0332,CRS-0015,SEM-6,B,2026-04-16T13:18:17.261834
ENR-00271,STU-0324,CRS-0020,SEM-4,B,2026-04-16T13:18:17.261838
ENR-00272,STU-0451,CRS-0049,SEM-2,C,2026-04-16T13:18:17.261842
ENR-00273,STU-0097,CRS-0045,SEM-1,B,2026-04-16T13:18:17.261846
ENR-00274,STU-0235,CRS-0054,SEM-2,W,2026-04-16T13:18:17.261850
ENR-00275,STU-0429,CRS-0048,SEM-5,D,2026-04-16T13:18:17.261855
ENR-00276,STU-0464,CRS-0017,SEM-4,C,2026-04-16T13:18:17.261859
ENR-00277,STU-0226,CRS-0058,SEM-1,B,2026-04-16T13:18:17.261863
ENR-00278,STU-0483,CRS-0047,SEM-4,C,2026-04-16T13:18:17.261867
ENR-00279,STU-0021,CRS-0011,SEM-3,B,2026-04-16T13:18:17.261871
ENR-00280,STU-0285,CRS-0047,SEM-3,C,2026-04-16T13:18:17.261876
ENR-00281,STU-0313,CRS-0049,SEM-2,B,2026-04-16T13:18:17.261880
ENR-00282,STU-0160,CRS-0039,SEM-3,B,2026-04-16T13:18:17.261884
ENR-00283,STU-0046,CRS-0019,SEM-4,C,2026-04-16T13:18:17.261889
ENR-00284,STU-0249,CRS-0057,SEM-1,B,2026-04-16T13:18:17.261895
ENR-00285,STU-0458,CRS-0005,SEM-6,D,2026-04-16T13:18:17.261899
ENR-00286,STU-0453,CRS-0044,SEM-2,B,2026-04-16T13:18:17.261903
ENR-00287,STU-0290,CRS-0045,SEM-5,B,2026-04-16T13:18:17.261907
ENR-00288,STU-0447,CRS-0045,SEM-1,B,2026-04-16T13:18:17.261911
ENR-00289,STU-0010,CRS-0042,SEM-4,B,2026-04-16T13:18:17.261916
ENR-00290,STU-0061,CRS-0038,SEM-4,C,2026-04-16T13:18:17.261920
ENR-00291,STU-0377,CRS-0044,SEM-5,C,2026-04-16T13:18:17.261924
ENR-00292,STU-0328,CRS-0048,SEM-3,B,2026-04-16T13:18:17.261928
ENR-00293,STU-0048,CRS-0056,SEM-2,W,2026-04-16T13:18:17.261932
ENR-00294,STU-0425,CRS-0053,SEM-3,A,2026-04-16T13:18:17.261936
ENR-00295,STU-0457,CRS-0010,SEM-5,B,2026-04-16T13:18:17.261940
ENR-00296,STU-0273,CRS-0056,SEM-5,D,2026-04-16T13:18:17.261944
ENR-00297,STU-0026,CRS-0014,SEM-1,D,2026-04-16T13:18:17.261949
ENR-00298,STU-0162,CRS-0045,SEM-5,A,2026-04-16T13:18:17.261953
ENR-00299,STU-0477,CRS-0042,SEM-2,B,2026-04-16T13:18:17.261957
ENR-00300,STU-0456,CRS-0056,SEM-4,F,2026-04-16T13:18:17.261961
ENR-00301,STU-0352,CRS-0007,SEM-5,C,2026-04-16T13:18:17.261965
ENR-00302,STU-0264,CRS-0025,SEM-5,C,2026-04-16T13:18:17.261969
ENR-00303,STU-0294,CRS-0019,SEM-5,F,2026-04-16T13:18:17.261973
ENR-00304,STU-0132,CRS-0026,SEM-2,F,2026-04-16T13:18:17.261979
ENR-00305,STU-0424,CRS-0043,SEM-5,F,2026-04-16T13:18:17.261983
ENR-00306,STU-0041,CRS-0022,SEM-1,A,2026-04-16T13:18:17.261989
ENR-00307,STU-0250,CRS-0049,SEM-5,C,2026-04-16T13:18:17.261998
ENR-00308,STU-0245,CRS-0022,SEM-5,C,2026-04-16T13:18:17.262002
ENR-00309,STU-0492,CRS-0026,SEM-5,C,2026-04-16T13:18:17.262007
ENR-00310,STU-0320,CRS-0027,SEM-1,D,2026-04-16T13:18:17.262012
ENR-00311,STU-0218,CRS-0050,SEM-2,D,2026-04-16T13:18:17.262016
ENR-00312,STU-0480,CRS-0044,SEM-6,B,2026-04-16T13:18:17.262020
ENR-00313,STU-0380,CRS-0051,SEM-1,B,2026-04-16T13:18:17.262024
ENR-00314,STU-0247,CRS-0047,SEM-6,A,2026-04-16T13:18:17.262028
ENR-00315,STU-0444,CRS-0042,SEM-3,B,2026-04-16T13:18:17.262032
ENR-00316,STU-0378,CRS-0060,SEM-1,F,2026-04-16T13:18:17.262036
