course_id,name,department,credit_hours,instructor_id,capacity,semester_id,created_at
CRS-0048,Profit-focused empowering hierarchy 101,Physics,3,INS-018,31,SEM-2,2026-04-16T13:18:13.649328
CRS-0049,De-engineered multimedia policy 101,Physics,3,INS-018,28,SEM-3,2026-04-16T13:18:13.649339
CRS-0050,Multi-channeled stable budgetary management 101,Business,4,INS-008,29,SEM-4,2026-04-16T13:18:13.649351
CRS-0051,Expanded multimedia middleware 101,Engineering,3,INS-012,34,SEM-5,2026-04-16T13:18:13.649362
CRS-0052,Optimized heuristic methodology 101,Physics,4,INS-010,34,SEM-5,2026-04-16T13:18:13.649374
CRS-0053,Focused didactic customer loyalty 101,Mathematics,3,INS-006,25,SEM-5,2026-04-16T13:18:13.649385
CRS-0054,Implemented tertiary emulation 101,Computer Science,4,INS-002,25,SEM-1,2026-04-16T13:18:13.649397
CRS-0055,Customizable eco-centric Internet solution 101,Engineering,3,INS-009,34,SEM-5,2026-04-16T13:18:13.649408
CRS-0056,User-centric executive data-warehouse 101,Mathematics,3,INS-010,27,SEM-5,2026-04-16T13:18:13.649420
CRS-0057,Triple-buffered hybrid forecast 101,Engineering,4,INS-014,31,SEM-2,2026-04-16T13:18:13.649431
CRS-0058,Balanced directional toolset 101,Business,3,INS-005,27,SEM-1,2026-04-16T13:18:13.649443
CRS-0059,Ameliorated full-range model 101,Mathematics,4,INS-020,39,SEM-5,2026-04-16T13:18:13.649455
CRS-0060,Public-key bi-directional matrix 101,Physics,4,INS-010,35,SEM-6,2026-04-16T13:18:13.649466
